                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.91939,                0.78846,                 1.0664,                0.85003,                0.82103,                0.87704,                0.71505,                0.77662,                0.57403,                0.94692,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.84265,                0.74948,                 1.0311,                0.87369,                0.81087,                0.87869,                0.71522,                0.77387,                0.57202,                0.94437,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.90532,                0.78102,                 1.0501,                0.87718,                0.81318,                  0.879,                0.72045,                0.77025,                0.57243,                0.94243,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.86046,                0.71623,                 1.0357,                0.89367,                0.80527,                 0.8778,                0.72004,                0.76629,                 0.5721,                0.94072,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.88504,                0.75212,                 1.0409,                0.90803,                0.79859,                0.87629,                0.71995,                0.76252,                0.57075,                0.93881,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                 0.8958,                0.76474,                 1.0388,                0.90692,                0.79632,                0.87408,                0.71977,                0.76054,                0.56792,                0.93829,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.85733,                0.74719,                 1.0406,                0.90824,                0.79578,                0.87419,                0.72027,                0.75699,                0.56331,                0.93775,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.89535,                0.75211,                 1.0539,                0.91031,                0.79657,                0.87468,                 0.7208,                0.75244,                0.55944,                0.93578,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.86109,                0.75327,                 1.0457,                0.90829,                0.79744,                0.87715,                0.72415,                0.75173,                0.55648,                0.93479,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.87627,                0.73171,                 1.0468,                0.91362,                 0.7951,                0.87908,                0.72525,                0.75187,                0.55341,                0.93491,             5.3026e-05,             5.3026e-05,             5.3026e-05
